"kit_desc","kit_prod","piece_desc_kitting","quantity","source","job_number","match","promail_id","proml_stat","filename_kitting","domestic","foreign","drop_date","drop_mthd","addl_instr_kitting","vrsn_num_kitting"
"","","","","","","","","","000000-WACHD - V01 - Samples","10","0","","See Monarch","","1"
"","","","","","","","","","000000-WACHD - V02 - Samples","20","0","","See Monarch","","2"
"","","","","","","","","","000000-WACHD - V03 - Samples","10","0","","See Monarch","","3"
"","","","","","","","","","000000-WACHD - V04 - Samples","10","0","","See Monarch","","4"
"","","","","","","","","","000000-WACHD - V05 - Samples","30","0","","See Monarch","","5"
"","","","","","","","","","000000-WACHD - V06 - Samples","30","0","","See Monarch","","6"
"","","","","","","","","","000000-WACHD - V07 - Samples","10","0","","See Monarch","","7"
"","","","","","","","","","000000-WACHD - V08 - Samples","20","0","","See Monarch","","8"
"","","","","","","","","","000000-WACHD - V09 - Samples","10","0","","See Monarch","","9"
"","","","","","","","","","000000-WACHD - V10 - Samples","10","0","","See Monarch","","10"
"","","","","","","","","","000000-WACHD - V11 - Samples","30","0","","See Monarch","","11"
"","","","","","","","","","000000-WACHD - V12 - Samples","30","0","","See Monarch","","12"
